"Collected.From"|"Year"|"Player"|"Position"|"Body-fat"|"Hand.length.(in)"|"Hand.width.(in)"|"Height.w/o.shoes"|"Height.w/.shoes"|"Standing.reach"|"Weight.(LBS)"|"Wingspan"
"56"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-73"|"2019-2020"|"Ty Jerome"|"PG"|"6.5000000000000002E-2"|"8.25"|"9.5"|"6' 4.25''"|"6' 5.5''"|"8' 2''"|"194.4"|"6' 4''"
"57"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-74"|"2019-2020"|"Jalen Lecque"|"PG"|"0.04"|"8.75"|"8.5"|"6' 2.5''"|"6' 4.25''"|"8' 2.5''"|"185.2"|"6' 8.5''"
"58"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-75"|"2019-2020"|"Ja Morant"|"PG"|"-%"|"-"|"-"|NA|NA|NA|"-"|NA
"59"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-76"|"2019-2020"|"Shamorie Ponds"|"PG"|"9.8000000000000004E-2"|"7.75"|"8"|"5' 11.5''"|"6' 0.5''"|"8' 0.5''"|"180"|"6' 3.5''"
"60"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-77"|"2019-2020"|"Tremont Waters"|"PG"|"6.6000000000000003E-2"|"8"|"9.75"|"5' 9.5''"|"5' 10.75''"|"7' 9.5''"|"172.4"|"6' 2.25''"
"61"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-78"|"2019-2020"|"Coby White"|"PG"|"4.2999999999999997E-2"|"7.75"|"9"|"6' 3.5''"|"6' 4.75''"|"8' 1.5''"|"191.4"|"6' 5''"
"62"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-79"|"2019-2020"|"Terance Mann"|"SG-SF"|"0.04"|"9.5"|"9.25"|"6' 4.75''"|"6' 6.5''"|"8' 5''"|"204.6"|"6' 7.75''"
"63"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-80"|"2019-2020"|"O'Shae Brissett"|"SF-PF"|"2.9000000000000001E-2"|"9"|"9.5"|"6' 7''"|"6' 8''"|"8' 8''"|"203.2"|"7' 0''"
"64"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-81"|"2019-2020"|"DaQuan Jeffries"|"SF-PF"|"3.9E-2"|"9.5"|"10.25"|"6' 4''"|"6' 5''"|"8' 8''"|"215.6"|"6' 11.25''"
"65"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-82"|"2019-2020"|"Reggie Perry"|"SF-PF"|"6.7000000000000004E-2"|"9"|"10"|"6' 8''"|"6' 9.25''"|"8' 10''"|"250.8"|"7' 0.5''"
"66"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-83"|"2019-2020"|"Marial Shayok"|"SF-PF"|"4.7E-2"|"8.75"|"9.25"|"6' 4.5''"|"6' 5.5''"|"8' 7.5''"|"196.8"|"7' 0.25''"
"67"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-84"|"2019-2020"|"RJ Barrett"|"SF"|"-%"|"-"|"-"|NA|NA|NA|"-"|NA
"68"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-85"|"2019-2020"|"Brian Bowen II"|"SF"|"6.5000000000000002E-2"|"8.5"|"9.75"|"6' 6.25''"|"6' 7.5''"|"8' 7''"|"200"|"6' 10''"
"69"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-86"|"2019-2020"|"Ignas Brazdeikis"|"SF"|"0.06"|"8.75"|"9.5"|"6' 5.75''"|"6' 7.25''"|"8' 6''"|"220.8"|"6' 9.25''"
"70"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-87"|"2019-2020"|"Brandon Clarke"|"SF"|"4.9000000000000002E-2"|"8.25"|"9.5"|"6' 7.25''"|"6' 8.25''"|"8' 6''"|"207.2"|"6' 8.25''"
"71"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-88"|"2019-2020"|"Louis King"|"SF"|"4.8000000000000001E-2"|"8"|"8.5"|"6' 6.75''"|"6' 8''"|"8' 8.5''"|"195.2"|"7' 0.25''"
"72"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-89"|"2019-2020"|"Nassir Little"|"SF"|"5.8999999999999997E-2"|"8.75"|"10"|"6' 4.5''"|"6' 6''"|"8' 8.5''"|"224.2"|"7' 1.25''"
"73"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-90"|"2019-2020"|"Jalen McDaniels"|"SF"|"5.7000000000000002E-2"|"9"|"10"|"6' 8.25''"|"6' 9.75''"|"8' 9.5''"|"191.6"|"7' 0.25''"
"74"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-91"|"2019-2020"|"KZ Okpala"|"SF"|"4.5999999999999999E-2"|"9.25"|"9.25"|"6' 7.25''"|"6' 9.5''"|"8' 10.5''"|"209.6"|"7' 1.75''"
"75"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-92"|"2019-2020"|"Eric Paschall"|"SF"|"6.3E-2"|"9"|"9.5"|"6' 6''"|"6' 7.25''"|"8' 7.5''"|"254.4"|"6' 11.75''"
"76"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-93"|"2019-2020"|"Cameron Reddish"|"SF"|"4.7E-2"|"9"|"9"|"6' 6.5''"|"6' 8''"|"8' 9.5''"|"207.8"|"7' 0.5''"
"77"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-94"|"2019-2020"|"Admiral Schofield"|"SF"|"6.8000000000000005E-2"|"8.75"|"9"|"6' 4''"|"6' 5.25''"|"8' 6.5''"|"240.6"|"6' 9.75''"
"78"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-95"|"2019-2020"|"Kris Wilkes"|"SF"|"4.9000000000000002E-2"|"8.5"|"9.5"|"6' 6.25''"|"6' 7.75''"|"8' 7''"|"208.8"|"6' 10.75''"
"79"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-96"|"2019-2020"|"Dylan Windler"|"SF"|"4.5999999999999999E-2"|"8.25"|"9.5"|"6' 6.25''"|"6' 7.5''"|"8' 8.5''"|"195.8"|"6' 10''"
"80"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-97"|"2018-2019"|"Keita Bates-Diop"|"SG-SF"|"5.3499999999999999E-2"|"9"|"8.5"|"6' 7.25''"|"6' 8.5''"|"8' 10.5''"|"223.8"|"7' 3.25''"
"81"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-98"|"2018-2019"|"Brian Bowen"|"SG-SF"|"7.5999999999999998E-2"|"9"|"10"|"6' 6.25''"|"6' 7.5''"|"8' 7.5''"|"202"|"6' 10.25''"
"82"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-99"|"2018-2019"|"Jacob Evans"|"SG-SF"|"6.5000000000000002E-2"|"9"|"9.25"|"6' 4.25''"|"6' 5.5''"|"8' 6.5''"|"199.6"|"6' 9.25''"
